PRODUTO;DESCRICAO;LOTE MINIMO;PRECO (R$);%ICMS;%IPI;IPI (R$)
S4270;PLUG BRASIKON 3P+T 32A 500HZ 10H VD IP44;1;R$ 17,76;7;9,75;R$ 1,73
S4277;PLUG BRASIKON 3P+T 32A 500V 7H PT;1;R$ 52,70;7;9,75;R$ 5,13
S4275;PLUG BRASIKON 3P+T 32A 600/690V 5H PT IP44;1;R$ 52,70;7;9,75;R$ 5,13
S4574;PLUG BRASIKON 3P+T 63A 100/130V 4H AM IP67;1;R$ 127,72;7;9,75;R$ 12,45
S4579;PLUG BRASIKON 3P+T 63A 200/250V 9H AZ IP67;1;R$ 127,72;7;9,75;R$ 12,45
S4576;PLUG BRASIKON 3P+T 63A 380/440V 6H VM IP67;1;R$ 127,72;7;9,75;R$ 12,45
S45711;PLUG BRASIKON 3P+T 63A 440/460V 11H VM;1;R$ 285,27;7;9,75;R$ 27,81
S4575;PLUG BRASIKON 3P+T 63A 600/690V 5H PT IP67;1;R$ 205,87;7;9,75;R$ 20,07
S0076;PLUG BRASIKON 6P+T 16A 380/440V 6H VM IP44;1;R$ 226,21;7;9,75;R$ 22,05
S11633;PLUG BRASIKON 90 2P+T 16A 200/250V 6H AZ;1;R$ 42,10;4;9,75;R$ 4,10
S13238;PLUG BRASIKON 90 3P 32A 380/440V 9H VM;1;R$ 165,74;7;9,75;R$ 16,15
S11637;PLUG BRASIKON 90 3P+N+T 16A 380/440V 6H VM;1;R$ 87,70;4;9,75;R$ 8,55
S11636;PLUG BRASIKON 90 3P+T 16A 380/440V 6H VM;1;R$ 42,32;7;9,75;R$ 4,12
S11634;PLUG BRASIKON 90 4P 16A 200/250V 9H AZ;1;R$ 77,63;4;9,75;R$ 7,56
S13236;PLUG BRASIKON 90 4P 32A 380/440V 6H VM;1;R$ 86,58;4;9,75;R$ 8,44
S11632;PLUG BRASIKON 90 5P 16A 100/130V 4H AM;1;R$ 53,39;4;9,75;R$ 5,20
S77256;PLUG FIX SOB BRASIKON 32A 3P+N+T 6H 380/440V INV;1;R$ 242,06;4;9,75;R$ 23,60
SN3074;PLUG NEG BRASIKON 2P+T 16A 100/130V 4H AM IP44;1;R$ 51,29;7;9,75;R$ 5,00
SN3076;PLUG NEG BRASIKON 2P+T 16A 200/250V 6H AZ IP44;1;R$ 51,29;7;9,75;R$ 5,00
SN3072;PLUG NEG BRASIKON 2P+T 16A 24V 2H LI IP44;1;R$ 143,61;7;9,75;R$ 14,00
SN3079;PLUG NEG BRASIKON 2P+T 16A 380/440V 9H VM IP44;1;R$ 51,29;7;9,75;R$ 5,00
SN3274;PLUG NEG BRASIKON 2P+T 32A 100/130V 4H AM IP44;1;R$ 99,05;7;9,75;R$ 9,65
SN3276;PLUG NEG BRASIKON 2P+T 32A 200/250V 6H AZ IP44;1;R$ 99,05;7;9,75;R$ 9,65
SN3279;PLUG NEG BRASIKON 2P+T 32A 380/440V 9H VM IP44;1;R$ 99,05;7;9,75;R$ 9,65
SN3576;PLUG NEG BRASIKON 2P+T 63A 200/250V 6H AZ IP67;1;R$ 719,48;7;9,75;R$ 70,14
SN3572;PLUG NEG BRASIKON 2P+T 63A 24V 2H LI IP67;1;R$ 2.014,53;7;9,75;R$ 196,41
SN5679;PLUG NEG BRASIKON 3P+N+T 125A 200/250V 9H AZ IP67;1;R$ 3.027,47;7;9,75;R$ 295,17
SN5676;PLUG NEG BRASIKON 3P+N+T 125A 380/440V 6H VM IP67;1;R$ 3.027,47;7;9,75;R$ 295,17
SN5079;PLUG NEG BRASIKON 3P+N+T 16A 200/250V 9H AZ IP44;1;R$ 70,63;7;9,75;R$ 6,88
SN5076;PLUG NEG BRASIKON 3P+N+T 16A 380/440V 6H VM IP44;1;R$ 70,63;7;9,75;R$ 6,88
SN5279;PLUG NEG BRASIKON 3P+N+T 32A 200/250V 9H AZ IP44;1;R$ 81,93;7;9,75;R$ 7,98
SN5276;PLUG NEG BRASIKON 3P+N+T 32A 380/440V 6H VM IP44;1;R$ 81,93;7;9,75;R$ 7,98
SN5579;PLUG NEG BRASIKON 3P+N+T 63A 200/250V 9H AZ IP67;1;R$ 463,07;7;9,75;R$ 45,14
SN5576;PLUG NEG BRASIKON 3P+N+T 63A 380/440V 6H VM IP67;1;R$ 463,07;7;9,75;R$ 45,14
SN4679;PLUG NEG BRASIKON 3P+T 125A 200/250V 9H AZ IP67;1;R$ 331,16;7;9,75;R$ 32,28
SN4676;PLUG NEG BRASIKON 3P+T 125A 380/440V 6H VM IP67;1;R$ 331,16;7;9,75;R$ 32,28
SN4079;PLUG NEG BRASIKON 3P+T 16A 200/250V 9H AZ IP44;1;R$ 55,15;7;9,75;R$ 5,37
SN4072;PLUG NEG BRASIKON 3P+T 16A 24V 2H LI IP44;1;R$ 154,42;7;9,75;R$ 15,05
SN4076;PLUG NEG BRASIKON 3P+T 16A 380/440V 6H VM IP44;1;R$ 55,15;7;9,75;R$ 5,37
SN4274;PLUG NEG BRASIKON 3P+T 32A 100/130V 4H AM IP44;1;R$ 65,90;7;9,75;R$ 6,42
SN4279;PLUG NEG BRASIKON 3P+T 32A 200/250V 9H AZ IP44;1;R$ 65,90;7;9,75;R$ 6,42
SN4276;PLUG NEG BRASIKON 3P+T 32A 380/440V 6H VM IP44;1;R$ 65,90;7;9,75;R$ 6,42
SN4579;PLUG NEG BRASIKON 3P+T 63A 200/250V 9H AZ IP67;1;R$ 183,38;7;9,75;R$ 17,87
SN4576;PLUG NEG BRASIKON 3P+T 63A 380/440V 6H VM IP67;1;R$ 183,38;7;9,75;R$ 17,87
SN4575;PLUG NEG BRASIKON 3P+T 63A 600/690V 5H PT IP67;1;R$ 513,50;7;9,75;R$ 50,06
199;SUP BUCHA 4P 200A FV MT;1;R$ 408,94;7;9,75;R$ 39,87
SEU7.103.P;SUPORTE 4X2 PARA 3 MODULOS GL;1;R$ 21,16;7;3,25;R$ 0,68
S3044;TOM EMB BRASIKON 2P+T 16A 100/130V 4H AM IP44;1;R$ 32,79;7;9,75;R$ 3,19
S3046;TOM EMB BRASIKON 2P+T 16A 200/250V 6H AZ IP44;1;R$ 32,79;7;9,75;R$ 3,19
S3042;TOM EMB BRASIKON 2P+T 16A 24V 2H LI IP44;1;R$ 89,44;7;9,75;R$ 8,72
S3049;TOM EMB BRASIKON 2P+T 16A 380/440V 9H VM IP44;1;R$ 32,79;7;9,75;R$ 3,19
S3244;TOM EMB BRASIKON 2P+T 32A 100/130V 4H AM IP44;1;R$ 54,53;7;9,75;R$ 5,31
S3246;TOM EMB BRASIKON 2P+T 32A 200/250V 6H AZ IP44;1;R$ 54,53;7;9,75;R$ 5,31
S3242;TOM EMB BRASIKON 2P+T 32A 24V 2H LI IP44;1;R$ 98,14;7;9,75;R$ 9,56
S3249;TOM EMB BRASIKON 2P+T 32A 380/440V 9H VM IP44;1;R$ 54,53;7;9,75;R$ 5,31
